area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
9800,4,2,2,1,1,0,0,0,2,0,1
4500,2,1,1,1,0,0,0,0,0,0,1
4320,3,1,1,1,0,0,0,0,0,1,1
4700,4,1,2,1,1,1,0,1,1,0,0
8150,3,2,1,1,1,1,0,0,0,0,1
4120,2,1,2,1,0,0,0,0,0,0,2
3480,4,1,2,0,0,0,0,0,1,0,1
4100,2,2,1,1,1,1,0,0,0,0,1
5850,2,1,1,1,1,1,0,0,2,0,1
4785,3,1,2,1,1,1,0,1,1,0,0
4000,3,1,2,1,0,0,0,1,0,0,2
6660,4,2,2,1,1,1,0,0,1,1,1
3450,3,1,1,1,0,1,0,0,2,0,2
7700,3,2,1,1,0,0,0,0,2,0,2
4500,2,1,1,1,0,0,0,1,2,0,0
6000,2,1,1,1,0,1,0,1,1,0,0
4260,4,1,2,1,0,1,0,1,0,0,0
5720,2,1,2,1,0,0,0,1,0,1,2
3960,3,1,2,1,0,0,0,0,0,0,0
4040,2,1,1,1,0,0,0,0,1,0,2
4000,2,1,1,1,0,0,0,0,0,0,2
4800,2,1,1,1,1,1,0,0,0,0,1
4000,3,2,2,1,0,1,0,1,1,0,1
6615,4,2,2,1,1,0,1,0,1,0,1
5500,3,1,2,1,0,0,0,1,0,0,2
5000,3,1,4,1,0,0,0,0,0,0,0
4800,3,2,4,1,1,0,0,1,0,0,0
5400,5,1,2,1,1,1,0,1,0,1,0
4500,2,1,2,1,0,0,1,0,1,0,1
3500,2,1,1,0,0,1,0,0,0,0,1
8250,3,1,1,1,0,0,0,0,0,0,0
3400,3,1,2,1,0,1,0,0,2,1,1
3060,3,1,1,1,0,0,0,0,0,0,2
4032,2,1,1,1,0,1,0,0,0,0,0
6350,3,2,3,1,1,0,0,1,0,0,0
3460,3,2,1,1,0,1,0,1,1,0,0
4040,3,1,2,1,0,1,1,0,1,0,0
4820,3,1,2,1,0,0,0,0,0,0,1
2475,3,1,2,1,0,0,0,0,0,0,0
7020,3,1,1,1,0,1,0,1,2,1,1
4340,3,1,1,1,0,0,0,0,0,0,1
3780,2,1,2,1,1,1,0,0,0,0,1
12944,3,1,1,1,0,0,0,0,0,0,2
5200,4,1,3,1,0,0,0,0,0,0,2
2610,4,3,2,0,0,0,0,0,0,0,1
3600,3,1,2,0,0,0,0,0,1,0,2
3290,2,1,1,1,0,0,1,0,1,0,0
2145,3,1,2,1,0,1,0,0,0,1,0
5985,3,1,1,1,0,1,0,0,0,0,1
7482,3,2,3,1,0,0,1,0,1,1,0
6360,3,1,1,1,1,1,0,1,2,1,0
3520,2,1,2,1,0,0,0,0,0,1,0
3630,3,2,2,1,0,0,1,0,2,0,1
6000,3,2,4,1,1,0,0,1,1,0,0
8372,3,1,3,1,0,0,0,1,2,0,2
5800,3,1,1,1,0,0,1,0,2,0,1
2953,3,1,2,1,0,1,0,1,0,0,2
3750,2,1,1,1,1,1,0,0,0,0,1
3850,3,1,1,1,0,0,0,0,0,0,2
5136,3,1,2,1,1,1,0,1,0,1,2
4880,3,1,1,1,0,0,0,0,2,1,2
3792,4,1,2,1,0,0,0,0,0,0,1
6000,3,1,4,1,1,0,0,1,2,0,2
2520,5,2,1,0,0,1,0,1,1,0,0
5948,3,1,2,1,0,0,0,1,0,0,1
2145,3,1,3,1,0,0,0,0,0,1,0
10500,2,1,1,1,0,0,0,0,1,0,1
3986,2,2,1,0,1,1,0,0,1,0,2
5500,3,2,2,1,0,0,0,0,1,0,1
8250,3,1,1,1,0,0,0,0,2,0,0
5400,3,1,1,1,0,0,0,0,3,0,1
7320,4,2,2,1,0,0,0,0,0,0,0
2700,2,1,1,0,0,0,0,0,0,0,0
9000,3,1,1,1,0,1,0,0,1,1,0
4800,5,2,3,0,0,1,1,0,0,0,2
4000,3,1,2,1,0,0,0,0,1,0,0
3630,4,1,2,1,0,0,0,0,3,0,1
6400,3,1,1,1,1,1,0,1,1,1,1
1650,3,1,2,0,0,1,0,0,0,0,2
4410,2,1,1,0,0,0,0,0,1,0,2
7350,2,1,1,1,0,0,0,0,1,0,1
6254,4,2,1,1,0,1,0,0,1,1,1
7980,3,1,1,1,0,0,0,0,1,1,1
4120,2,1,1,1,0,1,0,0,1,0,1
3520,3,1,1,1,0,0,0,0,0,1,1
2176,2,1,2,1,1,0,0,0,0,1,1
8080,3,1,1,1,0,0,0,1,2,0,1
3512,2,1,1,1,0,0,0,0,1,1,2
4000,2,1,1,1,0,0,0,0,0,0,2
3450,3,1,2,1,0,1,0,0,0,0,1
4320,3,1,2,1,0,0,0,0,2,1,0
15600,3,1,1,1,0,0,0,1,2,0,1
7152,3,1,2,1,0,0,0,1,0,0,0
6321,3,1,2,1,0,1,0,1,1,0,0
3000,3,1,2,0,0,0,0,0,0,0,1
7000,3,1,2,1,0,1,0,0,0,0,2
11460,3,1,3,1,0,0,0,0,2,1,1
4960,2,1,1,1,0,0,0,0,0,0,2
3460,4,1,2,1,0,0,0,1,0,0,1
3000,2,1,1,0,0,0,0,0,0,0,2
3630,2,1,1,1,0,0,0,0,0,0,2
5400,4,1,2,1,0,0,0,0,0,0,2
4900,3,1,2,0,0,0,0,0,0,0,2
5500,4,1,2,1,1,1,0,0,0,0,1
4000,4,2,2,0,0,0,0,0,0,0,1
3640,2,1,1,1,0,0,0,0,0,0,0
4500,2,1,1,0,0,0,0,0,0,0,0
4500,2,1,1,0,0,0,0,0,0,0,1
4300,6,2,2,1,0,0,0,0,0,0,0
3180,3,2,2,1,0,0,0,0,2,0,1
3150,2,2,1,0,0,1,0,0,0,0,1
4500,4,2,2,1,0,1,0,0,2,0,0
3520,2,2,1,1,0,1,0,0,0,0,1
4040,2,1,2,1,0,0,0,0,1,0,1
4400,4,1,2,1,0,0,0,1,2,1,1
4095,2,1,1,1,0,0,0,0,2,0,1
4160,3,1,1,1,1,1,0,1,0,0,2
3600,2,1,1,1,0,0,0,0,0,0,2
5830,2,1,1,1,0,0,0,0,2,0,2
6710,3,2,2,1,1,1,0,0,1,1,0
4992,3,2,2,1,0,0,0,0,2,0,2
5400,4,2,2,1,0,0,0,1,2,0,2
2800,3,2,2,0,0,1,0,1,1,0,1
4040,3,1,2,1,0,0,0,0,1,0,1
3745,3,1,2,1,0,1,0,0,0,0,0
8000,3,1,1,1,1,1,0,1,2,1,1
6540,3,1,1,1,1,1,0,0,2,1,0
3640,2,1,1,1,0,0,0,0,1,0,1
10240,2,1,1,1,0,0,0,1,2,1,2
3000,3,1,1,0,0,0,0,1,0,0,2
4000,2,1,1,1,0,0,0,0,0,1,1
3350,3,1,2,1,0,0,0,0,0,0,2
6500,3,2,3,1,0,0,0,1,0,0,2
3360,2,1,1,1,0,0,0,0,1,0,2
6650,3,1,2,1,1,0,0,0,0,0,1
2650,3,1,2,1,0,1,0,0,1,0,2
2835,2,1,1,1,0,0,0,0,0,0,1
6420,3,1,3,1,0,1,0,0,0,1,2
4750,2,1,1,1,0,0,0,0,0,0,2
3600,2,1,1,1,0,0,0,0,0,0,0
4800,3,1,3,1,0,0,0,1,0,0,2
3180,2,1,1,1,0,0,0,0,0,0,2
6000,4,2,4,1,0,0,0,1,1,0,0
6540,4,2,2,0,0,0,0,1,0,0,1
8880,3,2,2,1,0,1,0,1,1,0,0
4360,4,1,2,1,0,0,0,0,0,0,0
8250,3,2,3,1,0,0,0,1,0,0,0
3640,3,1,2,1,0,0,0,1,0,0,0
11410,2,1,2,1,0,0,0,0,0,1,0
5880,3,1,1,1,0,0,0,0,1,0,2
3150,3,2,1,1,1,1,0,1,0,0,0
6550,4,2,2,1,0,0,0,1,1,1,1
7000,3,2,4,1,0,0,0,1,2,0,0
7950,5,2,2,1,0,1,1,0,2,0,2
5500,3,2,1,1,0,1,0,0,0,0,1
10500,4,2,2,1,0,0,0,0,1,0,1
3069,2,1,1,1,0,0,0,0,1,0,2
3850,3,1,1,1,0,0,0,0,2,0,2
3420,4,2,2,1,0,0,0,0,0,0,1
4100,3,2,3,1,0,0,0,1,2,0,1
6325,3,1,4,1,0,0,0,1,1,0,2
3840,3,1,2,1,0,0,0,0,1,1,1
3750,3,1,1,1,0,0,0,0,0,0,2
3600,2,1,1,1,0,0,0,0,0,0,1
6060,3,1,1,1,1,1,0,0,0,0,0
7085,3,1,1,1,1,1,0,0,2,1,1
3120,3,1,2,0,0,0,0,0,0,0,0
6360,3,2,4,1,0,0,0,1,0,1,0
4000,3,1,2,1,0,0,0,0,1,0,2
4370,3,1,2,1,0,0,0,0,0,0,2
5800,2,1,1,1,1,1,0,1,0,0,1
3990,3,1,2,1,0,0,0,0,0,0,1
2175,3,1,2,0,1,1,0,1,0,0,2
3480,2,1,1,1,0,0,0,0,0,1,1
5900,2,1,1,1,0,0,0,0,1,0,0
4510,4,1,2,1,0,0,0,1,2,0,1
4600,2,1,1,1,0,0,0,0,0,0,0
7420,4,1,2,1,1,1,0,1,2,0,0
4000,3,1,2,1,0,0,0,0,2,0,0
3600,2,2,2,1,0,1,0,0,1,0,0
6600,3,2,1,1,0,1,0,1,0,1,2
5170,3,1,4,1,0,0,0,1,0,0,1
4400,2,1,1,1,0,0,0,0,0,0,2
4995,4,2,1,1,0,1,0,0,0,0,1
3660,4,1,2,0,0,0,0,0,0,0,2
10269,3,1,1,1,0,0,0,0,1,1,1
6600,3,2,3,1,0,0,0,1,0,1,2
2747,4,2,2,0,0,0,0,0,0,0,1
4160,3,1,3,1,0,0,0,0,0,0,2
8880,2,1,1,1,0,0,0,1,1,0,1
5320,2,1,1,1,0,0,0,0,1,1,2
6600,3,1,4,1,0,0,0,1,3,1,0
4880,4,2,2,1,0,0,0,1,1,1,0
4920,3,1,2,1,0,0,0,0,1,0,1
6480,3,1,2,0,0,0,0,1,1,0,1
4520,3,1,2,1,0,1,0,1,0,0,1
2910,2,1,1,0,0,0,0,0,0,0,2
8875,3,1,1,1,0,0,0,0,1,0,1
3300,3,1,2,0,0,0,0,0,1,0,1
5400,2,1,2,1,0,0,0,0,0,1,1
3162,3,1,2,1,0,0,0,1,1,0,0
2275,3,1,3,1,0,0,1,1,0,1,1
5040,3,1,2,1,0,1,0,1,0,0,2
3500,4,1,2,1,0,0,0,1,2,0,2
6600,4,2,2,1,1,1,0,0,0,1,1
3036,3,1,2,1,0,1,0,0,0,0,1
3150,3,1,2,0,0,0,0,0,0,0,2
5000,3,1,3,1,0,0,0,1,0,0,1
6240,4,2,2,1,0,0,0,1,1,0,0
6000,3,2,4,1,0,0,0,1,0,0,2
5500,3,1,3,1,1,0,0,1,1,0,0
3970,1,1,1,0,0,0,0,0,0,0,2
8100,4,1,2,1,1,1,0,1,2,1,0
4100,4,1,1,0,0,1,0,0,0,0,2
3850,2,1,1,1,0,0,0,0,0,0,1
11175,3,1,1,1,0,1,0,1,1,1,0
4079,3,1,3,1,0,0,0,0,0,0,1
7800,3,2,2,1,0,0,0,0,0,1,1
6900,3,1,1,1,1,1,0,0,0,1,1
6550,3,1,2,1,0,1,0,1,0,1,0
3520,3,1,1,1,0,0,0,0,2,1,2
6100,3,1,1,1,0,1,0,1,0,1,1
3000,4,1,2,1,0,0,0,0,0,0,2
6040,3,1,1,1,0,0,0,0,2,1,1
3185,2,1,1,1,0,0,0,0,2,0,2
6360,2,1,1,1,0,0,0,0,0,0,0
6800,2,1,1,1,0,0,0,0,0,0,2
4350,3,1,2,0,0,0,1,0,1,0,2
2145,4,2,1,1,0,1,0,0,0,1,2
2870,2,1,2,1,1,1,0,0,0,1,1
3000,3,1,2,1,0,1,0,1,0,0,1
3420,4,2,2,1,0,1,0,1,2,0,1
2325,3,1,2,0,0,0,0,0,0,0,1
4400,3,1,2,1,0,0,0,0,0,0,2
3450,3,1,2,1,0,1,0,0,1,0,1
3420,5,1,2,0,0,0,0,0,0,0,2
5495,3,1,1,1,0,1,0,0,0,0,2
3620,2,1,1,1,0,0,0,0,0,0,2
4500,3,1,1,1,0,1,0,0,0,0,0
3420,2,1,2,1,0,0,1,0,1,0,1
3900,3,1,2,1,0,0,0,0,0,0,2
3450,1,1,1,1,0,0,0,0,0,0,0
4095,3,1,2,0,1,1,0,1,0,0,1
6100,3,1,3,1,1,0,0,1,0,1,1
6000,4,2,4,1,0,0,0,0,2,0,1
6862,3,1,2,1,0,0,0,1,2,1,0
9500,3,1,2,1,0,0,0,0,3,1,2
7600,4,1,2,1,0,0,0,1,2,0,0
4632,4,1,2,1,0,0,0,1,0,0,1
6360,2,1,1,1,0,1,0,1,1,0,0
4500,3,1,4,1,0,0,0,1,0,0,2
5150,3,2,4,1,0,0,0,1,2,0,1
4600,4,1,2,1,0,0,0,0,0,0,1
8960,4,4,4,1,0,0,0,1,3,0,0
2430,3,1,1,0,0,0,0,0,0,0,2
3600,3,1,1,1,0,0,0,0,1,0,2
7440,3,2,1,1,1,1,0,1,0,1,1
4960,4,1,3,0,0,0,0,0,0,0,1
6000,3,1,2,1,0,0,1,0,1,1,1
6300,3,1,1,1,0,0,0,1,2,0,1
6840,5,1,2,1,1,1,0,1,1,0,0
2500,2,1,1,0,0,0,0,1,0,0,2
3968,3,1,2,0,0,0,0,0,0,0,1
2145,3,1,2,1,0,1,0,0,0,1,0
4500,3,1,2,1,0,0,0,1,0,0,2
4320,3,1,1,0,0,0,0,0,1,0,2
3630,2,1,1,1,0,1,0,0,0,0,0
6750,2,1,1,1,1,1,0,0,2,1,0
3180,4,2,2,1,0,0,0,0,0,0,0
3640,2,1,1,1,0,0,0,0,0,0,2
6000,4,2,4,1,1,0,0,1,1,0,0
2015,3,1,2,1,0,1,0,0,0,1,1
4900,2,1,2,1,0,1,0,0,0,0,1
3760,3,1,1,1,0,0,0,0,2,0,1
3500,4,2,2,1,0,0,1,0,2,0,0
5600,2,1,1,1,0,0,0,1,0,0,1
7410,3,1,1,1,1,1,0,1,2,1,2
4240,3,1,2,1,0,0,0,1,0,0,1
3500,4,1,2,1,0,0,0,0,2,0,0
7800,3,1,1,1,0,1,0,1,2,1,2
4500,3,2,2,0,0,1,0,1,0,0,1
2990,2,1,1,0,0,0,0,0,1,0,2
7000,3,1,1,1,0,1,0,0,2,1,1
4840,3,1,2,1,0,0,0,0,1,0,1
3040,2,1,1,0,0,0,0,0,0,0,2
1950,3,1,1,0,0,0,1,0,0,0,2
3185,2,1,1,1,0,0,0,1,0,0,2
3000,4,1,3,1,0,1,0,1,2,0,1
2550,3,1,2,1,0,1,0,0,0,0,0
3540,2,1,1,0,1,1,0,0,0,0,1
3000,2,1,2,1,0,0,0,0,0,0,1
2880,3,1,1,0,0,0,0,0,0,0,2
7680,4,2,4,1,1,0,0,1,1,0,1
4352,4,1,2,0,0,0,0,0,1,0,2
9860,3,1,1,1,0,0,0,0,0,0,1
7155,3,2,1,1,1,1,0,1,2,0,2
3680,3,2,2,1,0,0,0,0,0,0,1
3500,2,1,1,1,0,0,0,0,0,0,2
6210,4,1,4,1,1,0,0,1,0,0,0
4400,2,1,1,1,0,0,0,0,1,0,1
10700,3,1,2,1,1,1,0,0,0,0,1
3640,2,1,1,1,0,0,0,0,0,0,2
1950,3,2,2,1,0,1,0,0,0,1,2
2640,2,1,1,0,0,0,0,0,1,0,0
4080,2,1,1,1,0,0,0,0,0,0,1
4046,3,1,2,1,0,1,0,0,1,0,1
4800,3,1,1,1,1,1,0,0,0,0,2
6000,4,1,3,1,1,1,0,0,0,1,2
3180,3,1,2,0,0,1,0,0,0,0,1
3960,3,1,1,1,0,1,0,0,2,0,1
3850,3,1,2,1,0,0,0,0,0,0,2
4050,2,1,2,1,1,1,0,0,0,1,2
4350,2,1,1,1,0,1,0,0,0,0,2
3090,3,1,2,0,0,0,0,0,0,0,1
7231,3,1,2,1,1,1,0,1,0,1,1
4320,3,1,2,1,0,1,1,0,2,0,1
6000,4,2,4,1,0,0,0,1,0,0,2
5450,4,2,1,1,0,1,0,1,0,1,1
4500,3,2,3,1,0,0,1,0,1,0,0
4040,2,1,1,1,0,0,0,0,0,0,2
5500,3,2,4,1,1,0,0,1,1,0,1
